route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
101,TS,101,RECOLETA - CERRILLOS,,3,,00D5FF,000000
101c,TS,101c,(M) BLANQUEADO - CERRILLOS,,3,,00D5FF,000000
102,TS,102,(M) BLANQUEADO - MALL PLAZA TOBALABA,,3,,00D5FF,000000
103,TS,103,PROVIDENCIA - SAN JOAQUIN,,3,,00D5FF,000000
104,TS,104,PROVIDENCIA - MALL PLAZA TOBALABA,,3,,00D5FF,000000
105,TS,105,RENCA - LO ESPEJO,,3,,00D5FF,000000
106,TS,106,NUEVA SAN MARTIN - LA FLORIDA,,3,,00D5FF,000000
107,TS,107,CIUDAD EMPRESARIAL - AV. DEPARTAMENTAL,,3,,00D5FF,000000
107c,TS,107c,CIUDAD EMPRESARIAL - PLAZA RENCA,,3,,00D5FF,000000
108,TS,108,MAIPU - LA FLORIDA,,3,,00D5FF,000000
109,TS,109,RENCA - MAIPU,,3,,00D5FF,000000
109N,TS,109N,(M) QUINTA NORMAL - MAIPU,,3,,00D5FF,000000
110,TS,110,RENCA - MAIPU,,3,,00D5FF,000000
110c,TS,110c,RENCA - PUDAHUEL SUR,,3,,00D5FF,000000
111,TS,111,(M) PAJARITOS- CIUDAD SATELITE,,3,,00D5FF,000000
112N,TS,112N,AV. LA FLORIDA - RECOLETA,,3,,00D5FF,000000
112,TS,112,NONATO COO - (M) VESPUCIO NORTE,,3,,00D5FF,000000
113,TS,113,CIUDAD SATELITE - (M) LA MONEDA,,3,,00D5FF,000000
113e,TS,113e,CIUDAD SATELITE - (M) LA MONEDA,,3,,00D5FF,000000
114,TS,114,PROVIDENCIA- MALL PLAZA TOBALABA,,3,,00D5FF,000000
115,TS,115,VILLA EL ABRAZO - (M) LA MONEDA,,3,,00D5FF,000000
116,TS,116,HUECHURABA - SANTIAGO CENTRO,,3,,00D5FF,000000
117,TS,117,(M) VESPUCIO NORTE - SAN JOAQUIN,,3,,00D5FF,000000
117c,TS,117c,HUECHURABA - PROVIDENCIA,,3,,00D5FF,000000
118,TS,118,MAIPU - MALL PLAZA VESPUCIO,,3,,00D5FF,000000
119,TS,119,MAPOCHO - LO ESPEJO,,3,,00D5FF,000000
120,TS,120,RENCA - (M) LA CISTERNA,,3,,00D5FF,000000
121,TS,121,MAPOCHO - LO ESPEJO,,3,,00D5FF,000000
125,TS,125,(M) U. DE CHILE - LO ESPEJO,,3,,00D5FF,000000
126,TS,126,(M) MANUEL MONTT - LA HIGUERA,,3,,00D5FF,000000
408,TS,408,RENCA - MAPOCHO,,3,,00D5FF,000000
408e,TS,408e,RENCA - MAPOCHO,,3,,00D5FF,000000
410,TS,410,RENCA - PROVIDENCIA,,3,,00D5FF,000000
410e,TS,410e,RENCA - PROVIDENCIA,,3,,00D5FF,000000
201,TS,201,MALL PLAZA NORTE - SAN BERNARDO,,3,,0067AC,FFFFFF
201e,TS,201e,MALL PLAZA NORTE - SAN BERNARDO,,3,,0067AC,FFFFFF
261e,TS,261e,(M) LOS HEROES - SAN BERNARDO,,3,,0067AC,FFFFFF
202c,TS,202c,EL CORTIJO - MAPOCHO,,3,,0067AC,FFFFFF
203,TS,203,HUECHURABA - LA PINTANA,,3,,0067AC,FFFFFF
203e,TS,203e,HUECHURABA - LA PINTANA,,3,,0067AC,FFFFFF
204,TS,204,ALAMEDA - GABRIELA,,3,,0067AC,FFFFFF
204e,TS,204e,ALAMEDA - GABRIELA,,3,,0067AC,FFFFFF
205,TS,205,SANTIAGO - PUENTE ALTO,,3,,0067AC,FFFFFF
205e,TS,205e,SANTIAGO - PUENTE ALTO,,3,,0067AC,FFFFFF
206,TS,206,CENTRO - LA PINTANA,,3,,0067AC,FFFFFF
206e,TS,206e,CENTRO - LA PINTANA,,3,,0067AC,FFFFFF
230,TS,230,CONCHAL? LA PINTANA,,3,,0067AC,FFFFFF
207c,TS,207c,LA GRANJA - LA PINTANA,,3,,0067AC,FFFFFF
207e,TS,207e,MAPOCHO - LA PINTANA,,3,,0067AC,FFFFFF
208,TS,208,HUECHURABA - CENTRO,,3,,0067AC,FFFFFF
208c,TS,208c,HUECHURABA - (M) ZAPADORES,,3,,0067AC,FFFFFF
209,TS,209,ALAMEDA - EL VOLCAN,,3,,0067AC,FFFFFF
209e,TS,209e,ALAMEDA - EL VOLCAN,,3,,0067AC,FFFFFF
210,TS,210,ESTACION CENTRAL - PUENTE ALTO,,3,,0067AC,FFFFFF
210v,TS,210v,ESTACION CENTRAL - PUENTE ALTO,,3,,0067AC,FFFFFF
211,TS,211,LA FLORIDA - NOS,,3,,0067AC,FFFFFF
211c,TS,211c,(M) LA CISTERNA - SAN BERNARDO,,3,,0067AC,FFFFFF
211e,TS,211e,LA FLORIDA - SAN BERNARDO ,,3,,0067AC,FFFFFF
212,TS,212,PROVIDENCIA - LA PINTANA,,3,,0067AC,FFFFFF
213e,TS,213e,PLAZA ITALIA - PUENTE ALTO,,3,,FFD400,000000
214,TS,214,SANTA OLGA - EL CORTIJO,,3,,0067AC,FFFFFF
216,TS,216,PABLO DE ROKHA - VITACURA,,3,,0067AC,FFFFFF
217e,TS,217e,MAESTRANZA - (M) SANTA ANA,,3,,0067AC,FFFFFF
218e,TS,218e,SAN BERNARDO - MATUCANA,,3,,0067AC,FFFFFF
219e,TS,219e,(M) LA CISTERNA - CIUDAD EMPRESARIAL,,3,,0067AC,FFFFFF
221e,TS,221e,PUENTE ALTO - MATUCANA,,3,,0067AC,FFFFFF
222e,TS,222e,PUENTE ALTO - (M) SANTA ANA,,3,,0067AC,FFFFFF
223,TS,223,CIUDAD EMPRESARIAL - LO ESPEJO,,3,,0067AC,FFFFFF
224,TS,224,NUNOA- GABRIELA,,3,,0067AC,FFFFFF
224N,TS,224N,(M) PEDRERO - GABRIELA,,3,,0067AC,FFFFFF
224c,TS,224c,(M) VICENTE VALDES - GABRIELA,,3,,0067AC,FFFFFF
225,TS,225,LAS CONDES - BAHIA CATALINA,,3,,0067AC,FFFFFF
226,TS,226,MAPOCHO - NONATO COO,,3,,0067AC,FFFFFF
227,TS,227,VILLA FREI - PEDRO AGUIRRE CERDA,,3,,0067AC,FFFFFF
228,TS,228,(M) LA CISTERNA - ANGELMO,,3,,0067AC,FFFFFF
229,TS,229,(M) LA MONEDA - LA PINTANA,,3,,0067AC,FFFFFF
301,TS,301,JUAN ANTONIO RIOS - ANGELMO,,3,,00B33C,FFFFFF
301c,TS,301c,(M) LA CISTERNA - ANGELMO,,3,,00B33C,FFFFFF
301c2,TS,301c2,(M) LA CISTERNA - LO BLANCO ,,3,,00B33C,FFFFFF
301e,TS,301e,(M) LA MONEDA - ANGELMO,,3,,00B33C,FFFFFF
302,TS,302, (M) SANTA ANA - LA PINTANA,,3,,00B33C,FFFFFF
302e,TS,302e,(M) LOS HEROES - SAN RAMON,,3,,00B33C,FFFFFF
303,TS,303,QUILICURA - PLAZA ITALIA,,3,,00B33C,FFFFFF
303e,TS,303e,QUILICURA - (M) SANTA ANA,,3,,00B33C,FFFFFF
307,TS,307,LO MARCOLETA - PLAZA ITALIA,,3,,00B33C,FFFFFF
307e,TS,307e,RIGOBERTO JARA - PLAZA ITALIA,,3,,00B33C,FFFFFF
308,TS,308,LO MARCOLETA - MAPOCHO,,3,,00B33C,FFFFFF
312e,TS,312e,QUILICURA -  MAPOCHO,,3,,00B33C,FFFFFF
313e,TS,313e,QUILICURA - ESTACION CENTRAL ,,3,,00B33C,FFFFFF
314,TS,314,LO MARCOLETA - PLAZA ITALIA,,3,,00B33C,FFFFFF
314e,TS,314e,LO MARCOLETA - PLAZA ITALIA,,3,,00B33C,FFFFFF
315e,TS,315e,RIGOBERTO JARA - PLAZA ITALIA,,3,,00B33C,FFFFFF
321,TS,321,(M) LO OVALLE - LO SIERRA,,3,,00B33C,FFFFFF
322,TS,322,(M) BELLAVISTA DE LA FLORIDA  - JARDIN ALTO,,3,,00B33C,FFFFFF
323,TS,323,(M) BELLAVISTA DE LA FLORIDA  - LA LOMA,,3,,00B33C,FFFFFF
345,TS,345,LO ESPEJO - ALAMEDA,,3,,00B33C,FFFFFF
348,TS,348,RINCONADA - (M) LO OVALLE,,3,,00B33C,FFFFFF
350,TS,350,CIUDAD SATELITE - RINCONADA,,3,,00B33C,FFFFFF
350c,TS,350c,RINCONADA - (M) PLAZA DE MAIPU,,3,,00B33C,FFFFFF
385,TS,385,V. FRANCIA -   MALL F. CENTER,,3,,00B33C,FFFFFF
401,TS,401,MAIPU - HOSPITAL DIPRECA,,3,,F58220,000000
401N,TS,401N,MAIPU - LOS DOMICOS,,3,,F58220,000000
402,TS,402,PUDAHUEL - MAPOCHO,,3,,F58220,000000
403,TS,403,(M) SANTA ANA - LA REINA,,3,,F58220,000000
404,TS,404,EL DESCANSO - MAPOCHO,,3,,F58220,000000
404c,TS,404c,EL DESCANSO - (M) LAS REJAS,,3,,F58220,000000
405,TS,405,MAIPU - CANTAGALLO,,3,,F58220,000000
405c,TS,405c,PLAZA ITALIA - VITACURA,,3,,F58220,000000
406,TS,406, PUDAHUEL - CANTAGALLO,,3,,F58220,000000
406c,TS,406c,(M) ESCUELA MILITAR - CANTAGALLO,,3,,F58220,000000
407,TS,407,ENEA - HOSPITAL DIPRECA,,3,,F58220,000000
409,TS,409,MAPOCHO - PLAZA SAN ENRIQUE,,3,,F58220,000000
411,TS,411,PROVIDENCIA - PLAZA SAN ENRIQUE,,3,,F58220,000000
412,TS,412,(M) SAN PABLO - LA REINA,,3,,F58220,000000
413c,TS,413c,AVENIDA PORTALES - (M) LAS REJAS,,3,,F58220,000000
413v,TS,413v,AVENIDA PORTALES - (M) PLAZA DE MAIPU,,3,,F58220,000000
414e,TS,414e,(M) PUDAHUEL - LOS TRAPENSES,,3,,F58220,000000
415e,TS,415e,(M) PUDAHUEL - (M) MANQUEHUE,,3,,F58220,000000
416e,TS,416e,MAIPU - VITACURA,,3,,F58220,000000
417e,TS,417e,MAIPU - (M) MANQUEHUE,,3,,F58220,000000
418,TS,418,ENEA - AV. TOBALABA,,3,,F58220,000000
419,TS,419,VILLA LOS HEROES - PLAZA ITALIA,,3,,F58220,000000
420e,TS,420e,(M) ESCUELA MILITAR - LO HERMIDA,,3,,F58220,000000
421,TS,421,MAIPU - SAN CARLOS DE APOQUINDO,,3,,F58220,000000
422,TS,422,POBL. TENIENTE MERINO - LA REINA,,3,,F58220,000000
423,TS,423,SEGUNDA TRANSVERSAL - PLAZA ITALIA,,3,,F58220,000000
424,TS,424,PUDAHUEL SUR - (M) U. DE CHILE,,3,,F58220,000000
425,TS,425,RIGOBERTO JARA - LO HERMIDA,,3,,F58220,000000
426,TS,426, PUDAHUEL - LA DEHESA,,3,,F58220,000000
427,TS,427,PUDAHUEL - HOSPITAL DIPRECA,,3,,F58220,000000
428,TS,428,QUILICURA - (M) LA CISTERNA,,3,,F58220,000000
428c,TS,428c,PUDAHUEL - (M) LA CISTERNA,,3,,F58220,000000
428e,TS,428e,QUILICURA - (M) LA CISTERNA,,3,,F58220,000000
429,TS,429,LO ECHEVERS - LO HERMIDA,,3,,F58220,000000
429c,TS,429c,QUILICURA - (M) TOBALABA,,3,,F58220,000000
430,TS,430,QUILICURA - LA DEHESA,,3,,F58220,000000
431c,TS,431c,NUEVA SAN MARTIN -  (M) LAS REJAS,,3,,F58220,000000
431v,TS,431v,NUEVA SAN MARTIN - (M) PLAZA DE MAIPU,,3,,F58220,000000
435,TS,435,QUILICURA - VITACURA,,3,,F58220,000000
501,TS,501,(M) PARQUE BUSTAMANTE- VITAL APOQUINDO,,3,,00D9A3,FFFFFF
502,TS,502,CERRO NAVIA - CANTAGALLO,,3,,00D9A3,FFFFFF
502c,TS,502c,CERRO NAVIA - SANTIAGO,,3,,00D9A3,FFFFFF
503,TS,503,AV. LA ESTRELLA  - VITAL APOQUINDO,,3,,00D9A3,FFFFFF
504,TS,504,ENEA - HOSPITAL DIPRECA,,3,,00D9A3,FFFFFF
505,TS,505,CERRO NAVIA - LAS PARCELAS,,3,,00D9A3,FFFFFF
506,TS,506,MAIPU - PENALOLEN,,3,,00D9A3,FFFFFF
506e,TS,506e,MAIPU - PENALOLEN,,3,,00D9A3,FFFFFF
506v,TS,506v,VILLA EL ABRAZO - PENALOLEN,,3,,00D9A3,FFFFFF
507,TS,507,ENEA - AV. GRECIA,,3,,00D9A3,FFFFFF
507c,TS,507c,(M) PARQUE O'HIGGINS - PENALOLEN,,3,,00D9A3,FFFFFF
508,TS,508,ENEA- AV. LAS TORRES,,3,,00D9A3,FFFFFF
509,TS,509,MAIPU - MAPOCHO,,3,,00D9A3,FFFFFF
510,TS,510,PUDAHUEL SUR - RIO CLARO,,3,,00D9A3,FFFFFF
510c,TS,510c,PUDAHUEL SUR - (M) PAJARITOS,,3,,00D9A3,FFFFFF
511,TS,511,CERRO NAVIA - PENALOLEN,,3,,00D9A3,FFFFFF
513,TS,513,EL MONTIJO - JOSE ARRIETA,,3,,00D9A3,FFFFFF
514,TS,514,ENEA - SAN LUIS DE MACUL,,3,,00D9A3,FFFFFF
514c,TS,514c,(M) SALVADOR -SAN LUIS DE MACUL,,3,,00D9A3,FFFFFF
515N,TS,515N,CENTRO-SAN LUIS DE MACUL,,3,,00D9A3,FFFFFF
516,TS,516,PUDAHUEL SUR- LAS PARCELAS,,3,,00D9A3,FFFFFF
517,TS,517,J.J.PEREZ  - VITAL APOQUINDO,,3,,00D9A3,FFFFFF
518,TS,518,J.J. PEREZ - BILBAO,,3,,00D9A3,FFFFFF
519e,TS,519e,ALAMEDA - AV.GRECIA,,3,,00D9A3,FFFFFF
B01,TS,B01,EL SALTO - HUAMACHUCO,,3,,ED1C24,FFFFFF
B02,TS,B02,CAMINO PUNTA MOCHA - ESTACION MAPOCHO,,3,,ED1C24,FFFFFF
B02N,TS,B02N,HUECHURABA - PLAZA ITALIA,,3,,ED1C24,FFFFFF
B03,TS,B03,MIRAFLORES - (M) CERRO BLANCO,,3,,ED1C24,FFFFFF
B04,TS,B04,EL CORTIJO - MAPOCHO,,3,,ED1C24,FFFFFF
B04v,TS,B04v,EL CORTIJO - (M) CERRO BLANCO,,3,,ED1C24,FFFFFF
B05,TS,B05,BARRIO SAN IGNACIO - CIUDAD EMPRESARIAL,,3,,ED1C24,FFFFFF
B06,TS,B06,(M) ZAPADORES - SANTA LAURA,,3,,ED1C24,FFFFFF
B07,TS,B07,SANTA LUISA - PARQUE INDUSTRIAL,,3,,ED1C24,FFFFFF
B08,TS,B08,LO MARCOLETA - MALL PLAZA NORTE,,3,,ED1C24,FFFFFF
B09,TS,B09,LO MARCOLETA - MALL PLAZA NORTE,,3,,ED1C24,FFFFFF
B10,TS,B10,LO BOZA - HOSPITAL FELIX BULNES,,3,,ED1C24,FFFFFF
B11,TS,B11,EL SALTO - LO MARCOLETA,,3,,ED1C24,FFFFFF
